,yardline_100,total_num_plays,drive_end_transition,num_plays_of_type,fraction_of_plays_at_yardline
193,25.0,571,BLOCKED_PUNT,0,0.0
194,25.0,571,DOWNS,23,0.040280210157618214
195,25.0,571,FIELD_GOAL,211,0.36952714535901926
196,25.0,571,PUNT,5,0.008756567425569177
197,25.0,571,SAFETY,0,0.0
198,25.0,571,TOUCHDOWN,251,0.4395796847635727
199,25.0,571,TURNOVER,47,0.08231173380035026
200,26.0,491,BLOCKED_OR_MISSED_FG,30,0.06109979633401222
201,26.0,491,BLOCKED_PUNT,0,0.0
202,26.0,491,DOWNS,20,0.04073319755600815
203,26.0,491,FIELD_GOAL,161,0.32790224032586557
204,26.0,491,PUNT,7,0.014256619144602852
205,26.0,491,SAFETY,0,0.0
206,26.0,491,TOUCHDOWN,220,0.4480651731160896
207,26.0,491,TURNOVER,53,0.1079429735234216
208,27.0,521,BLOCKED_OR_MISSED_FG,31,0.05950095969289827
209,27.0,521,BLOCKED_PUNT,0,0.0
210,27.0,521,DOWNS,21,0.04030710172744722
211,27.0,521,FIELD_GOAL,181,0.3474088291746641
212,27.0,521,PUNT,14,0.026871401151631478
213,27.0,521,SAFETY,0,0.0
214,27.0,521,TOUCHDOWN,232,0.44529750479846447
215,27.0,521,TURNOVER,42,0.08061420345489444
216,28.0,516,BLOCKED_OR_MISSED_FG,41,0.07945736434108527
217,28.0,516,BLOCKED_PUNT,0,0.0
218,28.0,516,DOWNS,23,0.044573643410852716
219,28.0,516,FIELD_GOAL,196,0.3798449612403101
220,28.0,516,PUNT,9,0.01744186046511628
221,28.0,516,SAFETY,0,0.0
222,28.0,516,TOUCHDOWN,210,0.4069767441860465
223,28.0,516,TURNOVER,37,0.07170542635658915
224,29.0,586,BLOCKED_OR_MISSED_FG,39,0.06655290102389079
225,29.0,586,BLOCKED_PUNT,0,0.0
226,29.0,586,DOWNS,17,0.02901023890784983
227,29.0,586,FIELD_GOAL,219,0.37372013651877134
228,29.0,586,PUNT,16,0.027303754266211604
229,29.0,586,SAFETY,0,0.0
230,29.0,586,TOUCHDOWN,239,0.40784982935153585
231,29.0,586,TURNOVER,56,0.09556313993174062
232,30.0,600,BLOCKED_OR_MISSED_FG,37,0.06166666666666667
233,30.0,600,BLOCKED_PUNT,0,0.0
234,30.0,600,DOWNS,22,0.03666666666666667
235,30.0,600,FIELD_GOAL,206,0.3433333333333333
236,30.0,600,PUNT,19,0.03166666666666667
237,30.0,600,SAFETY,0,0.0
238,30.0,600,TOUCHDOWN,261,0.435
239,30.0,600,TURNOVER,55,0.09166666666666666
240,31.0,518,BLOCKED_OR_MISSED_FG,26,0.05019305019305019
241,31.0,518,BLOCKED_PUNT,0,0.0
242,31.0,518,DOWNS,26,0.05019305019305019
243,31.0,518,FIELD_GOAL,170,0.3281853281853282
244,31.0,518,PUNT,16,0.03088803088803089
245,31.0,518,SAFETY,0,0.0
246,31.0,518,TOUCHDOWN,222,0.42857142857142855
247,31.0,518,TURNOVER,58,0.11196911196911197
248,32.0,554,BLOCKED_OR_MISSED_FG,30,0.05415162454873646
249,32.0,554,BLOCKED_PUNT,0,0.0
250,32.0,554,DOWNS,27,0.048736462093862815
251,32.0,554,FIELD_GOAL,175,0.315884476534296
252,32.0,554,PUNT,27,0.048736462093862815
253,32.0,554,SAFETY,0,0.0
254,32.0,554,TOUCHDOWN,234,0.4223826714801444
255,32.0,554,TURNOVER,61,0.11010830324909747
256,33.0,585,BLOCKED_OR_MISSED_FG,37,0.06324786324786325
257,33.0,585,BLOCKED_PUNT,0,0.0
258,33.0,585,DOWNS,41,0.07008547008547009
259,33.0,585,FIELD_GOAL,174,0.29743589743589743
260,33.0,585,PUNT,31,0.05299145299145299
261,33.0,585,SAFETY,0,0.0
262,33.0,585,TOUCHDOWN,243,0.4153846153846154
263,33.0,585,TURNOVER,59,0.10085470085470086
264,34.0,602,BLOCKED_OR_MISSED_FG,40,0.0664451827242525
265,34.0,602,BLOCKED_PUNT,0,0.0
266,34.0,602,DOWNS,29,0.04817275747508306
267,34.0,602,FIELD_GOAL,201,0.3338870431893688
268,34.0,602,PUNT,37,0.061461794019933555
269,34.0,602,SAFETY,0,0.0
270,34.0,602,TOUCHDOWN,224,0.37209302325581395
271,34.0,602,TURNOVER,71,0.11794019933554817
272,35.0,646,BLOCKED_OR_MISSED_FG,51,0.07894736842105263
273,35.0,646,BLOCKED_PUNT,0,0.0
274,35.0,646,DOWNS,35,0.05417956656346749
275,35.0,646,FIELD_GOAL,196,0.30340557275541796
276,35.0,646,PUNT,40,0.06191950464396285
277,35.0,646,SAFETY,0,0.0
278,35.0,646,TOUCHDOWN,265,0.4102167182662539
279,35.0,646,TURNOVER,59,0.0913312693498452
280,36.0,613,BLOCKED_OR_MISSED_FG,34,0.05546492659053834
281,36.0,613,BLOCKED_PUNT,0,0.0
282,36.0,613,DOWNS,50,0.08156606851549755
283,36.0,613,FIELD_GOAL,168,0.2740619902120718
284,36.0,613,PUNT,60,0.09787928221859707
285,36.0,613,SAFETY,0,0.0
286,36.0,613,TOUCHDOWN,245,0.399673735725938
287,36.0,613,TURNOVER,56,0.09135399673735727
288,37.0,587,BLOCKED_OR_MISSED_FG,47,0.08006814310051108
289,37.0,587,BLOCKED_PUNT,1,0.0017035775127768314
290,37.0,587,DOWNS,40,0.06814310051107325
291,37.0,587,FIELD_GOAL,174,0.29642248722316866
